listener_id,freq_hz,false_alarm_rate,coeff_01,coeff_02,coeff_03,coeff_04,coeff_05,coeff_06,coeff_07,coeff_08,coeff_09,coeff_10,coeff_11,coeff_12,coeff_13,coeff_14,coeff_15,coeff_16,coeff_17,coeff_18,coeff_19,coeff_20,cu_05,cu_10,cu_15,cu_20,cu_25,cu_30,cu_35,cu_40,cu_45,cu_50
1,250,0.030897903914431653,-1.107815736932428,-4.054127839828357,-1.1048811755392056,-1.152682512726579,-1.115887579342652,-1.119120493097193,-1.147089286353344,-1.1113852118058976,-1.110267640365051,-1.1216452936656731,36.51000517564552,21.524520335837245,8.063801550502134,17.19253357376119,9.118351490866988,6.415218633362702,1.313944435359899,9.077307769166733,1.3183628811150756,1.4050012671634913,36.51000517564552,58.03452551148276,66.09832706198489,83.29086063574607,92.40921212661306,98.82443075997575,100.13837519533566,109.21568296450239,110.53404584561747,111.93904711278095
1,500,0.030897903914431653,-21.307485837475163,-1.116625808716642,-1.1128263583936846,-1.1158140870911435,-1.1290882656070171,-1.1173248441608625,-1.8664990789236309,-1.1108621927885614,-16.081448308920244,-1.874515982940159,22.419165289691684,15.906441636554284,16.116369973358623,19.812243046502356,1.3295456118940714,20.260656547630703,13.54456108384489,1.42679370007862,1.3700400435231623,2.167794471260172,22.419165289691684,38.32560692624597,54.44197689960459,74.25421994610694,75.58376555800102,95.84442210563172,109.38898318947662,110.81577688955524,112.1858169330784,114.35361140433857
1,750,0.030897903914431653,-5.865401402491674,-1.1028307519447331,-1.103053953301791,-1.1035000448153909,-2.7954708455540285,-1.1053351310170498,-1.3311425597422688,-1.1025169500612728,-1.1188034336689272,-1.0984068921888364,19.23979674247976,16.983105704265583,12.340953594650728,20.64491847765511,6.220397792952113,24.1615746017454,6.712763199539424,3.425560814617718,2.629721964741478,3.566954409025442,19.23979674247976,36.222902446745344,48.56385604139607,69.20877451905119,75.4291723120033,99.5907469137487,106.30351011328813,109.72907092790584,112.35879289264732,115.92574730167276
1,1000,0.030897903914431653,-1.111864169771322,-1.1211930132269874,-1.1230106505721449,-1.1359866008001154,-1.120494406873728,-3.3527290704442745,-1.121469996627849,-1.1203475661495772,-1.124064704466167,-1.1379335643818567,13.487885705979465,23.756318932496114,16.485028234256504,20.174477488684474,6.610750899288288,10.152583074151778,9.618911108413226,3.673808738388118,3.3862055402131617,5.799077363048102,13.487885705979465,37.24420463847558,53.729232872732084,73.90371036141656,80.51446126070485,90.66704433485663,100.28595544326986,103.95976418165797,107.34596972187114,113.14504708491924
1,1500,0.030897903914431653,-1.1183852438323192,-1.1083602537233173,-1.1081654878351683,-1.1101606973990155,-1.36515707718879,-21.402140308278383,-1.105370388406112,-1.107445409957427,-1.1058953564833693,-1.1120757037658948,12.12385042651406,12.467906526530697,23.91464670280601,16.31182117314995,10.014414165527445,18.231427407598076,10.665338428041942,2.8648672210269366,1.3353104151186206,3.7162809490049176,12.12385042651406,24.591756953044758,48.50640365585077,64.81822482900071,74.83263899452815,93.06406640212623,103.72940483016816,106.5942720511951,107.92958246631373,111.64586341531864
1,2000,0.030897903914431653,-1.1104380918015577,-1.5421758118997464,-1.1058143505752716,-1.0998998890052611,-1.1025467079686444,-1.1109870480575457,-1.113808955498905,-1.101807312366188,-1.1020154044370427,-1.105020414733211,27.821550803089544,15.554528835130647,16.115587631296357,24.322746972522253,9.444249659438317,6.323663327082041,7.998812568770484,1.3200041138323502,1.3242666330345214,6.270776134422869,27.821550803089544,43.37607963822019,59.49166726951655,83.8144142420388,93.2586639014771,99.58232722855915,107.58113979732964,108.901143911162,110.22541054419652,116.4961866786194
1,3000,0.030897903914431653,-1.1120994879687185,-1.101482725969877,-1.1028948536832477,-1.1151182083584161,-1.1010742089684804,-1.1096722512944552,-1.0992860668138271,-2.815357363174842,-1.1020627773781855,-1.1313953351794632,25.53013390725593,16.919618304187132,16.66197699759652,15.910077137840712,11.344112258370139,3.644641069414453,3.8581851165987917,3.2502920144538567,3.610118093805278,3.8332029354739614,25.53013390725593,42.44975221144306,59.11172920903958,75.0218063468803,86.36591860525044,90.01055967466489,93.86874479126368,97.11903680571754,100.72915489952283,104.56235783499679
1,4000,0.030897903914431653,-1.1185212254262016,-1.1202816719992872,-1.1214181850799578,-1.1432512678060798,-1.9069701563721866,-1.1026812754398838,-1.128138782699887,-1.1093944574707213,-1.137323972777391,-1.1176538761121804,42.91243624211471,7.982890894758448,20.16156148493002,9.743612556269277,11.92876549329037,7.85595938043204,1.34738172939857,7.481747350616214,4.51864000227018,1.3624727950302886,42.91243624211471,50.895327136873156,71.05688862180318,80.80050117807247,92.72926667136284,100.58522605179488,101.93260778119344,109.41435513180966,113.93299513407983,115.29546792911012
1,6000,0.030897903914431653,-1.1157130959119765,-1.1169105811896034,-1.4554344173577913,-1.8812356330973423,-1.6753933747350986,-3.2262971573352894,-1.1110080429733045,-1.1296878145145621,-2.5946284830608084,-1.1096403130509156,24.403998859287995,23.943940184203115,8.878530325249088,11.16972267218192,21.327561003537504,1.3732581447300278,2.530685669835149,6.616136085868565,7.730688811197005,1.3375627850654217,24.403998859287995,48.34793904349111,57.2264693687402,68.39619204092212,89.72375304445961,91.09701118918964,93.6276968590248,100.24383294489336,107.97452175609035,109.31208454115577
1,8000,0.030897903914431653,-1.1082926719986745,-1.10024975886646,-1.103174685170461,-1.102467489714316,-1.8233622036905646,-1.1107183677139358,-1.1021273595694399,-1.108445219388575,-1.1035143818394433,-1.0985245469746,19.86123129994266,14.18551448134486,12.300344825103297,12.939378133877023,24.8263844360525,1.3266323233456747,10.592150605348074,3.2917516152964206,4.27254333220151,4.7540841105222,19.86123129994266,34.04674578128752,46.347090606390815,59.286468740267836,84.11285317632033,85.439485499666,96.03163610501409,99.3233877203105,103.59593105251201,108.35001516303421
2,250,0.030425173507893918,-1.1212095954829358,-20.759056561483668,-1.1301979083069296,-1.7650427092924472,-1.1383380776558685,-1.1237675926001733,-1.3072764101371637,-1.1387403757962105,-1.1398388296042183,-1.145251969314533,25.243749217916758,24.571399432129937,9.578919782256506,7.432904207020947,31.63784186254206,1.3689104798253613,1.3639584294561722,5.488780588314228,4.436327888678679,5.271495854371896,25.243749217916758,49.815148650046694,59.3940684323032,66.82697263932414,98.4648145018662,99.83372498169156,101.19768341114774,106.68646399946196,111.12279188814064,116.39428774251253
